ITEM_ID,USER_ID,EVENT_TYPE,TIMESTAMP,DISCOUNT,ITEM_CATEGORY_L2,ITEM_CATEGORY_L1,ITEM_PRICE,ITEM_PRODUCT_NAME,ITEM_PRODUCT_DESCRIPTION,Contact ID,OCCURREDAT
7549f8b8-a48a-4d17-921a-dd58b760900b,1,StartCheckout,1706231042,No,chairs,furniture,158,Sleek Leather Office Chair,"Expertly crafted with sleek black bonded leather and ergonomic adjustability, this modern office chair provides exceptional comfort and customizable support for long work days.",11207,1/26/24
8ea787f8-cdf1-49bb-a788-e7349244f55f,1,StartCheckout,1707123697,Yes,chairs,furniture,87,Sleek Gray Ergonomic Office Throne,"This ergonomic light slate gray office chair provides customized comfort and support with adjustable height and tilt controls, breathable mesh back, padded seat and backrest, sturdy base, and smooth-rolling casters.",11207,2/5/24
7549f8b8-a48a-4d17-921a-dd58b760900b,1,View,1701512528,No,chairs,furniture,158,Sleek Leather Office Chair,"Expertly crafted with sleek black bonded leather and ergonomic adjustability, this modern office chair provides exceptional comfort and customizable support for long work days.",11207,12/2/23
7549f8b8-a48a-4d17-921a-dd58b760900b,1,View,1701512538,No,chairs,furniture,158,Sleek Leather Office Chair,"Expertly crafted with sleek black bonded leather and ergonomic adjustability, this modern office chair provides exceptional comfort and customizable support for long work days.",11207,12/2/23
7549f8b8-a48a-4d17-921a-dd58b760900b,1,View,1701512556,No,chairs,furniture,158,Sleek Leather Office Chair,"Expertly crafted with sleek black bonded leather and ergonomic adjustability, this modern office chair provides exceptional comfort and customizable support for long work days.",11207,12/2/23
7549f8b8-a48a-4d17-921a-dd58b760900b,1,View,1701512562,No,chairs,furniture,158,Sleek Leather Office Chair,"Expertly crafted with sleek black bonded leather and ergonomic adjustability, this modern office chair provides exceptional comfort and customizable support for long work days.",11207,12/2/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702375958,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/12/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702375969,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/12/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702375978,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/12/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702467650,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/13/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702467665,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/13/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702467673,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/13/23
e2b686b4-1e49-4ac8-8590-f02a29e9888d,1,View,1702568707,Yes,bowls,housewares,18,Beautiful Handcrafted Serving Bowl,The Opulent Ceramic Serving Bowl elegantly displays fruit or servings. Its intricate design and smooth glazed finish add sophisticated style to any occasion.,11207,12/14/23
e2b686b4-1e49-4ac8-8590-f02a29e9888d,1,View,1702568720,Yes,bowls,housewares,18,Beautiful Handcrafted Serving Bowl,The Opulent Ceramic Serving Bowl elegantly displays fruit or servings. Its intricate design and smooth glazed finish add sophisticated style to any occasion.,11207,12/14/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702712482,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/16/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702712487,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/16/23
48941756-e6c4-4b45-a869-c4f33daccdeb,1,View,1702712498,Yes,chairs,furniture,112,Sunny Yellow Armchair for Comfort,"This cheerful, plush yellow armchair envelops you in comfort with its padded cushions, curved armrests, and bright, sunny upholstery. Unwind in relaxation and style.",11207,12/16/23
e41db00e-517e-4030-8d7f-347d1050ae77,1,View,1702728464,Yes,kitchen,housewares,70,Versatile Cast Iron Dutch Oven,"This versatile 6qt enameled cast iron Dutch Oven evenly distributes heat for slow cooking, braising, roasting, baking, and frying. Its tight-fitting lid seals in moisture and flavor. Durable, multipurpose pot transitions from stovetop to oven for endless one-pot meal possibilities.",11207,12/16/23
