ITEM_ID,PRICE,CATEGORY_L1,CATEGORY_L2,PRODUCT_NAME,PRODUCT_DESCRIPTION,GENDER,PROMOTED
6579c22f-be2b-444c-a52b-0116dd82df6c,91,accessories,backpack,Spacious Tan Backpack for Her Travels,This versatile tan travel backpack is thoughtfully designed with multiple compartments to keep you organized. Its durable fabric withstands daily use while the padded straps ensure carrying comfort. The spacious interior and numerous pockets provide ample storage for all your belongings.,F,
2e852905-c6f4-47db-802c-654013571922,124,accessories,backpack,Blush Backpack for Everyday Chic,"This chic pale pink backpack adds a feminine touch to any outfit. With ample storage and comfortable straps, it keeps essentials organized while you stay hands-free. A stylish and functional accessory for women on the go.",F,
4ec7ff5c-f70f-4984-b6c4-c7ef37cc0c09,88,accessories,backpack,Sleek Gainsboro Pack for Fashionable Women,"Sleek and spacious, this stylish gainsboro backpack keeps your belongings organized with multiple pockets while padded straps deliver comfort. An everyday essential for the fashionable woman on the go.",F,
7977f680-2cf7-457d-8f4d-afa0aa168cb9,126,accessories,backpack,Stylish Gray Backpack for Women,"Chic and functional gray backpack designed for busy, on-the-go women. Spacious interior keeps essentials organized while padded straps ensure comfortable wear during everyday adventures.",F,
b5649d7c-4651-458d-a07f-912f253784ce,142,accessories,backpack,Stylish Orange Backpack,"Style and function meet in this durable canvas backpack featuring Peru-orange accents. Thoughtfully designed with padded straps, multiple pockets and a roomy interior to keep essentials organized on the go.",F,
296d144e-7f86-464b-9c5a-f545257f1700,145,accessories,backpack,Stylish Black Backpack for Her,"This stylish black backpack for women effortlessly combines fashion and function. Expertly crafted with a spacious interior, it's the perfect accessory to keep you organized in style.",F,
7d3e7f5b-8ac8-49a9-a960-8a24773a8280,134,accessories,backpack,Sleek Saddle Leather Backpack,"This saddle brown leather backpack from our new fall collection is a sleek and spacious accessory for women. Crafted from rich leather with brass accents, it keeps daily essentials organized while complementing any outfit.",F,
1d3ae532-f790-44ca-a8e8-f55aa9b66526,76,accessories,backpack,Stylish Purple Backpack for Women,"This stylish purple backpack for women keeps your essentials organized in chic style. Expertly crafted with durable materials, padded straps, and spacious interior, it's the perfect accessory for work, school, or travel.",F,
f6cd5dd2-d3ea-4858-844a-04879153e459,96,accessories,backpack,Stylish Black Backpack for Women,"This sleek black backpack effortlessly combines fashion and function. Expertly crafted with a spacious interior, it's the perfect accessory to keep you organized in style.",F,
3491deff-c0fe-4065-abbc-72b507da84b2,81,accessories,backpack,Sparkly Unicorn Backpack,"Presenting the Unicorn Canvas Backpack, a stylish and practical accessory for women. Its whimsical unicorn design adds magical flair, while the roomy interior keeps essentials organized. Durable canvas construction and faux leather accents ensure lasting use. Add a touch of fairy tale charm to your look with this colorful backpack.",F,
